Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenurePerJobLevel,PromotionLag
44,0,2,1,7,4,3,1,0,2,3,0,4,1,10248,0,14,3,4,1,24,4,3,22,6,5,17,5.5,0.21739130434782608
46,0,2,2,2,4,2,2,0,3,5,3,1,2,18947,0,12,3,4,0,22,2,2,2,2,2,1,0.3333333333333333,0.6666666666666666
33,0,2,1,2,3,3,3,1,3,1,2,4,2,2496,0,11,3,4,0,7,3,3,1,1,0,0,0.5,0.0
44,0,2,1,10,4,4,4,1,3,2,0,4,1,6465,1,13,3,4,0,9,5,4,4,2,1,3,1.3333333333333333,0.2
30,0,2,1,9,2,3,4,1,2,1,2,3,2,2206,0,13,3,1,0,10,5,3,10,0,1,8,5.0,0.09090909090909091
39,1,2,2,5,3,5,4,1,3,2,8,4,1,2086,0,14,3,3,1,19,6,4,1,0,0,0,0.3333333333333333,0.0
24,1,2,1,1,3,3,2,1,3,1,6,4,1,2293,1,16,3,1,1,6,2,2,2,0,2,0,1.0,0.6666666666666666
43,0,2,1,2,2,3,4,0,4,1,6,3,0,2645,0,12,3,4,2,6,3,2,5,3,1,4,2.5,0.16666666666666666
50,1,2,2,3,2,2,1,1,2,1,8,3,1,2683,1,14,3,3,0,3,2,3,3,2,0,2,1.5,0.0
35,0,2,2,2,3,2,4,0,3,1,8,4,1,2014,0,13,3,1,0,2,3,3,2,2,2,2,1.0,0.6666666666666666
36,0,2,1,5,4,1,2,0,2,1,6,1,1,3419,1,14,3,4,1,6,3,4,1,1,0,0,0.5,0.0
33,0,1,2,1,3,1,3,0,4,2,7,1,1,5376,0,19,3,1,2,10,3,3,5,3,1,3,1.6666666666666667,0.16666666666666666
35,0,2,1,4,2,4,3,1,3,1,2,4,0,1951,0,12,3,3,1,1,3,3,1,0,0,0,0.5,0.0
27,0,2,1,2,4,1,4,0,3,1,2,1,0,2341,0,13,3,4,1,1,6,3,1,0,0,0,0.5,0.0
26,1,2,1,25,3,1,1,1,1,1,2,3,2,2293,0,12,3,3,0,1,2,2,1,0,0,1,0.5,0.0
27,0,1,2,8,3,1,4,1,3,3,7,3,2,8726,0,15,3,4,0,9,0,3,9,8,1,7,2.25,0.1
30,0,1,1,1,2,3,3,0,3,2,2,4,2,4011,0,23,4,4,0,12,2,3,12,8,3,7,4.0,0.23076923076923078
41,1,2,1,12,3,5,2,0,3,5,5,3,1,19545,0,12,3,4,0,23,0,3,22,15,15,8,3.6666666666666665,0.6521739130434783
34,0,0,2,23,4,2,2,1,3,2,7,3,2,4568,0,20,4,3,0,10,2,3,9,5,8,7,3.0,0.8
37,0,2,1,19,2,1,2,1,3,1,6,2,1,3022,0,21,4,1,0,8,1,3,1,0,0,0,0.5,0.0
46,0,1,2,5,4,2,1,1,3,2,7,4,2,5772,1,21,4,3,0,14,4,3,9,6,0,8,3.0,0.0
35,0,2,1,8,1,1,4,1,4,1,2,4,1,2269,0,19,3,4,0,1,2,3,1,0,0,1,0.5,0.0
48,1,2,1,1,2,1,1,1,2,3,2,3,2,5381,1,13,3,4,0,23,2,3,1,0,0,0,0.25,0.0
28,1,2,1,5,4,5,3,1,3,1,2,3,2,3441,1,13,3,3,0,2,3,2,2,2,2,2,1.0,0.6666666666666666
44,0,2,2,1,5,2,2,0,3,2,7,1,0,5454,1,21,4,3,1,9,2,2,4,3,1,3,1.3333333333333333,0.2
35,0,0,1,11,2,3,3,1,2,3,0,1,1,9884,1,13,3,3,1,10,3,3,4,0,2,3,1.0,0.4
26,0,2,2,23,3,2,3,0,2,2,7,4,1,4157,1,19,3,3,1,5,2,2,2,2,0,0,0.6666666666666666,0.0
33,0,1,1,1,2,1,1,0,3,3,5,4,2,13458,1,12,3,3,0,15,1,3,15,14,8,12,3.75,0.5
35,0,1,2,18,5,1,2,1,3,3,7,1,1,9069,0,22,4,4,1,9,3,2,9,8,1,8,2.25,0.1
35,0,2,1,23,4,3,3,0,3,1,2,1,1,4014,1,15,3,3,1,4,3,3,2,2,2,2,1.0,0.6666666666666666
31,0,2,1,7,4,1,4,1,3,2,2,4,0,5915,0,22,4,4,1,10,3,2,7,7,1,7,2.3333333333333335,0.125
37,0,2,1,1,4,1,1,1,2,2,4,3,0,5993,0,18,3,3,1,7,2,4,7,5,0,7,2.3333333333333335,0.0
32,0,2,1,1,3,3,1,1,3,2,4,4,1,6162,1,22,4,2,1,9,3,3,9,8,7,8,3.0,0.7
38,0,1,1,29,5,1,4,0,3,2,2,4,2,2406,0,11,3,4,0,10,2,3,10,3,9,9,3.3333333333333335,0.8181818181818182
50,0,2,1,7,2,3,2,0,2,5,5,3,0,18740,1,12,3,4,1,29,2,2,27,3,13,8,4.5,0.4642857142857143
59,0,2,2,25,3,1,1,0,3,3,7,1,2,7637,0,11,3,4,0,28,3,2,21,16,7,9,5.25,0.3181818181818182
36,0,2,1,8,3,5,3,0,3,3,0,3,0,10096,0,13,3,2,3,17,2,3,17,14,12,8,4.25,0.6666666666666666
55,0,2,1,8,3,3,4,0,3,4,3,3,0,14756,1,14,3,3,3,21,2,3,5,0,0,2,1.0,0.0
36,0,1,1,11,3,1,2,1,2,2,4,2,2,6499,0,13,3,3,0,6,3,3,6,5,0,3,2.0,0.0
45,0,2,1,7,3,1,2,1,3,3,6,1,0,9724,0,17,3,3,1,25,2,3,1,0,0,0,0.25,0.0
35,0,1,1,1,3,3,2,1,3,1,6,1,1,2194,0,13,3,4,1,5,2,2,3,2,1,2,1.5,0.25
36,1,2,1,9,3,3,4,1,2,1,6,3,1,3388,1,17,3,1,1,2,0,2,1,0,0,0,0.5,0.0
59,0,1,2,1,1,1,1,0,2,2,7,3,2,5473,0,11,3,4,0,20,2,2,4,3,1,3,1.3333333333333333,0.2
29,0,2,1,2,3,1,3,1,3,1,6,2,1,2703,0,23,4,4,1,6,3,3,5,4,0,4,2.5,0.0
31,0,2,1,1,4,3,3,1,3,1,6,2,2,2501,0,17,3,2,0,1,4,3,1,1,1,0,0.5,0.5
32,0,2,1,1,3,1,2,1,3,2,6,2,1,6220,0,17,3,2,2,10,3,3,10,4,0,9,3.3333333333333335,0.0
36,0,2,1,6,3,1,2,0,4,1,2,4,1,3038,0,12,3,2,0,5,3,3,1,0,0,0,0.5,0.0
31,0,2,1,8,4,1,3,0,3,2,4,4,2,4424,0,23,4,4,0,11,2,3,11,7,1,8,3.6666666666666665,0.08333333333333333
35,0,2,2,1,4,2,3,1,2,2,7,1,2,4312,0,14,3,2,0,16,2,3,15,13,2,8,5.0,0.125
45,0,2,1,6,4,4,4,1,3,3,5,1,1,13245,1,14,3,2,0,17,3,4,0,0,0,0,0.0,0.0
37,0,2,1,7,4,3,1,1,3,3,5,3,2,13664,0,13,3,1,0,16,3,4,5,2,0,2,1.25,0.0
46,0,2,0,5,2,3,2,1,3,2,1,2,0,5021,1,22,4,4,1,16,2,3,4,2,0,2,1.3333333333333333,0.0
30,0,2,1,1,1,1,4,1,2,2,2,4,1,5126,1,12,3,3,2,10,1,2,10,8,3,0,3.3333333333333335,0.2727272727272727
35,0,2,1,1,3,3,2,1,2,1,6,3,2,2859,0,18,3,1,0,6,3,3,6,4,0,4,3.0,0.0
55,0,2,2,1,2,1,1,1,3,3,7,4,1,10239,0,14,3,4,1,24,4,3,1,0,1,0,0.25,0.5
38,0,0,1,6,3,3,2,0,1,2,6,4,0,5329,1,12,3,4,3,17,3,3,13,11,1,9,4.333333333333333,0.07142857142857142
34,0,2,1,1,2,3,1,1,3,2,4,2,1,4325,0,15,3,3,0,5,2,3,5,2,1,3,1.6666666666666667,0.16666666666666666
56,0,2,1,7,3,1,4,1,1,3,4,4,2,7260,0,11,3,1,0,37,3,2,6,4,0,2,1.5,0.0
23,0,2,2,2,1,5,3,1,3,1,8,1,0,2322,0,13,3,3,1,3,3,3,0,0,0,0,0.0,0.0
51,0,2,1,9,4,1,4,1,3,1,2,4,1,2075,0,23,4,2,2,10,4,3,4,2,0,3,2.0,0.0
30,0,2,1,2,3,1,3,1,2,2,0,4,1,4152,0,19,3,1,3,11,3,3,11,10,10,8,3.6666666666666665,0.8333333333333334
46,1,2,2,9,2,3,3,1,2,3,7,4,2,9619,0,16,3,4,0,9,3,3,9,8,4,7,2.25,0.4
40,0,1,1,1,4,1,3,1,2,4,0,2,1,13503,0,22,4,4,1,22,3,2,22,3,11,11,4.4,0.4782608695652174
51,0,2,2,21,4,2,3,1,3,2,7,4,2,5441,1,22,4,4,0,11,2,1,10,7,1,0,3.3333333333333335,0.09090909090909091
30,0,2,2,4,2,3,3,0,2,2,7,2,0,5209,1,12,3,2,3,11,4,2,11,8,2,7,3.6666666666666665,0.16666666666666666
46,0,1,1,1,3,3,3,1,2,3,0,1,1,10673,1,13,3,3,1,21,5,2,10,9,9,5,2.5,0.8181818181818182
32,0,2,2,6,4,3,2,1,3,2,7,3,2,5010,0,16,3,1,0,12,0,3,11,8,5,7,3.6666666666666665,0.4166666666666667
54,0,2,1,2,4,5,1,0,3,3,5,3,1,13549,0,12,3,1,1,16,5,1,4,3,0,3,1.0,0.0
24,0,2,2,3,2,4,1,0,3,2,7,3,1,4999,0,21,4,1,1,4,2,2,3,2,0,2,1.0,0.0
28,0,0,2,4,3,3,2,1,3,2,7,3,1,4221,0,15,3,2,0,5,3,4,5,4,0,4,1.6666666666666667,0.0
58,0,2,2,10,4,3,4,1,3,4,7,3,2,13872,0,13,3,3,0,38,1,2,37,10,1,8,7.4,0.02631578947368421
44,0,0,1,23,3,3,2,1,3,2,2,2,1,2042,0,12,3,3,1,17,3,4,3,2,1,2,1.0,0.25
37,1,2,0,6,4,0,3,1,3,1,1,1,0,2073,1,22,4,4,0,7,3,3,3,2,0,2,1.5,0.0
32,0,2,1,1,1,1,4,1,3,1,6,1,2,2956,0,13,3,4,0,1,2,3,1,0,0,0,0.5,0.0
20,1,1,1,6,3,1,4,0,2,1,2,4,2,2926,1,18,3,2,0,1,5,3,1,0,1,0,0.5,0.5
34,0,2,1,6,4,4,1,0,3,2,6,3,2,4809,0,14,3,3,0,16,3,3,16,13,2,10,5.333333333333333,0.11764705882352941
37,0,0,1,2,2,1,3,1,2,2,0,4,0,5163,0,14,3,4,1,17,2,4,1,0,0,0,0.3333333333333333,0.0
59,0,0,0,2,4,0,3,0,2,5,3,4,1,18844,0,21,4,4,1,30,3,3,3,2,2,2,0.5,0.5
50,0,1,1,1,3,1,1,0,3,5,5,2,1,18172,1,19,3,1,0,28,1,2,8,3,0,7,1.3333333333333333,0.0
25,1,2,2,5,3,2,3,1,2,2,7,3,2,5744,1,11,3,4,0,6,1,3,6,4,0,3,2.0,0.0
25,0,2,1,7,1,3,4,1,2,1,6,4,1,2889,0,11,3,3,2,2,2,3,2,2,2,1,1.0,0.6666666666666666
22,0,2,1,15,3,3,2,0,3,1,2,4,2,2871,0,15,3,3,0,1,5,3,0,0,0,0,0.0,0.0
51,0,1,1,1,4,3,1,0,2,3,0,1,2,7484,0,20,4,3,0,23,1,2,13,12,12,8,3.25,0.8571428571428571
34,1,1,1,7,3,1,1,1,1,2,2,3,2,6074,1,24,4,4,0,9,3,3,9,7,0,6,3.0,0.0
54,0,0,0,26,3,0,4,0,4,4,3,4,2,17328,1,12,3,3,0,23,3,3,5,3,4,4,1.0,0.6666666666666666
24,0,2,1,18,1,1,2,1,3,1,2,3,1,2774,0,12,3,3,1,6,2,3,5,3,1,2,2.5,0.16666666666666666
34,0,2,1,6,4,1,3,0,2,2,6,2,0,4505,0,15,3,3,1,12,3,3,1,0,0,0,0.3333333333333333,0.0
37,0,2,2,3,3,1,3,1,3,3,7,4,2,7428,0,12,3,1,0,12,3,3,5,3,1,3,1.25,0.16666666666666666
34,0,2,1,5,3,3,3,0,2,3,3,1,2,11631,0,12,3,4,0,14,6,3,11,10,5,8,2.75,0.4166666666666667
36,0,1,2,11,2,5,2,0,3,3,7,4,1,9738,0,14,3,3,1,10,6,3,9,7,2,8,2.25,0.2
36,0,2,1,3,2,1,1,0,3,1,2,4,0,2835,0,22,4,1,1,7,2,3,1,0,0,0,0.5,0.0
43,0,1,2,26,2,1,3,1,3,4,3,4,1,16959,1,12,3,4,2,25,3,4,25,12,4,12,5.0,0.15384615384615385
30,0,1,1,23,3,1,1,1,1,1,6,3,0,2613,0,25,4,3,3,10,2,2,10,7,0,9,5.0,0.0
33,0,0,2,22,2,2,3,1,3,2,7,2,1,6146,0,13,3,1,1,8,2,4,7,7,0,7,2.3333333333333335,0.0
56,1,2,1,14,4,1,2,0,3,1,6,2,1,4963,1,18,3,1,3,7,2,3,5,4,4,3,2.5,0.6666666666666666
51,0,2,1,6,3,1,1,1,3,5,5,3,2,19537,0,13,3,3,0,23,5,3,20,18,15,15,3.3333333333333335,0.7142857142857143
31,1,2,2,6,4,1,2,1,1,2,7,3,1,6172,1,18,3,2,0,12,3,2,7,7,7,7,2.3333333333333335,0.875
26,0,2,1,6,3,4,3,0,2,1,6,2,1,2368,0,19,3,3,0,5,3,2,5,4,4,3,2.5,0.6666666666666666
58,1,2,1,23,4,3,4,0,3,3,0,4,1,10312,0,12,3,4,1,40,3,2,40,10,15,6,10.0,0.36585365853658536
19,1,2,2,22,1,2,4,1,3,1,8,3,2,1675,1,19,3,4,0,0,2,2,0,0,0,0,0.0,0.0
22,0,2,1,2,1,5,3,1,3,1,2,4,1,2523,0,14,3,3,1,3,2,3,2,1,2,1,1.0,0.6666666666666666
49,0,2,1,20,4,3,3,0,3,2,4,1,1,6567,0,14,3,3,0,16,2,2,15,11,5,11,5.0,0.3125
43,0,1,1,28,3,3,2,0,4,1,6,3,2,4739,0,12,3,4,0,18,2,3,3,2,1,2,1.5,0.25
50,0,1,2,12,3,2,3,0,3,3,7,4,2,9208,0,11,3,4,0,16,3,3,2,2,2,1,0.5,0.6666666666666666
31,1,2,2,20,3,1,2,0,1,2,7,3,1,4559,1,11,3,3,1,4,2,3,2,2,2,2,0.6666666666666666,0.6666666666666666
41,0,2,2,9,1,1,3,1,3,3,7,3,0,8189,1,13,3,3,1,12,2,3,9,7,0,7,2.25,0.0
26,0,2,0,25,1,1,3,0,3,1,1,3,1,2942,0,23,4,4,1,8,3,3,8,7,5,7,4.0,0.5555555555555556
36,0,2,1,6,2,3,2,1,3,2,4,2,0,4941,0,20,4,4,2,7,0,3,3,2,0,1,1.0,0.0
51,1,1,1,8,4,1,1,1,1,3,4,4,2,10650,0,15,3,4,0,18,2,3,4,2,0,3,1.0,0.0
39,0,2,2,4,4,1,4,0,2,2,7,3,1,5902,0,14,3,3,1,17,1,4,15,11,5,9,5.0,0.3125
25,0,2,2,28,3,1,1,1,2,2,7,3,1,8639,0,18,3,4,0,6,3,3,2,2,2,2,0.6666666666666666,0.6666666666666666
30,0,2,0,9,3,0,3,1,3,2,1,4,1,6347,1,19,3,4,0,12,2,1,11,9,4,7,3.6666666666666665,0.3333333333333333
32,1,2,1,9,3,3,1,0,3,1,2,1,2,4200,0,22,4,1,0,10,2,4,5,4,0,4,2.5,0.0
45,0,2,1,29,3,3,3,1,3,1,6,4,2,3452,0,13,3,2,0,9,2,2,6,5,0,3,3.0,0.0
38,0,2,1,3,5,5,4,0,3,2,6,3,2,4317,1,20,4,2,0,19,2,3,3,2,2,2,1.0,0.5
30,0,2,1,18,3,1,1,0,3,1,6,3,2,2632,0,14,3,3,0,5,4,2,5,4,0,4,2.5,0.0
32,0,1,2,9,2,3,4,1,1,2,7,4,0,4668,0,17,3,4,3,9,2,4,8,7,0,7,2.6666666666666665,0.0
30,0,2,1,5,3,5,4,0,3,1,6,1,0,3204,0,14,3,4,1,8,3,3,3,2,2,2,1.5,0.5
30,0,2,1,2,1,3,2,1,2,1,2,4,2,2720,0,13,3,4,0,6,3,3,5,3,1,2,2.5,0.16666666666666666
41,0,1,1,10,3,1,4,1,2,4,3,1,0,17181,0,13,3,2,1,21,2,2,7,6,7,7,1.4,0.875
41,0,2,1,9,4,1,3,1,3,1,2,1,1,2238,0,21,4,4,1,7,2,3,5,0,1,4,2.5,0.16666666666666666
19,0,2,1,3,1,3,2,0,3,1,2,2,2,1483,0,14,3,4,0,1,3,3,1,0,0,0,0.5,0.0
40,0,1,1,26,3,3,2,0,3,2,6,2,0,5605,0,11,3,1,1,20,2,3,20,7,2,13,6.666666666666667,0.09523809523809523
35,0,2,2,1,5,2,3,1,3,3,7,2,1,7295,0,13,3,1,2,10,3,3,10,8,0,6,2.5,0.0
53,0,2,2,6,2,2,2,1,3,2,8,3,1,2306,1,20,4,4,1,13,3,1,7,7,4,5,2.3333333333333335,0.5
45,0,2,1,9,3,1,2,1,3,2,2,2,0,2348,0,18,3,3,1,20,2,1,17,9,0,15,5.666666666666667,0.0
32,0,1,2,8,3,2,2,0,3,3,7,4,2,8998,0,14,3,4,0,9,2,3,9,8,3,7,2.25,0.3
29,0,0,1,1,1,5,4,1,3,2,4,3,1,4319,0,13,3,1,1,10,1,3,10,7,0,9,3.3333333333333335,0.0
51,0,2,1,7,4,3,2,1,2,2,4,3,1,6132,0,17,3,3,0,10,2,3,1,0,0,0,0.3333333333333333,0.0
58,0,2,1,9,3,3,2,0,2,1,6,2,1,3346,1,20,4,2,1,9,3,2,1,0,0,0,0.5,0.0
40,0,2,2,4,4,2,3,1,2,3,7,4,1,10855,0,11,3,1,1,15,2,2,12,11,2,11,3.0,0.15384615384615385
34,0,1,2,2,4,2,3,0,3,1,8,3,1,2231,0,18,3,4,1,6,3,3,4,3,1,2,2.0,0.2
22,0,2,1,19,1,3,3,1,3,1,6,4,1,2323,0,24,4,1,2,2,6,3,2,2,2,2,1.0,0.6666666666666666
27,0,0,1,9,3,3,4,1,3,1,6,2,0,2024,0,18,3,4,1,6,1,1,2,2,2,2,1.0,0.6666666666666666
28,0,2,1,21,3,3,3,1,3,1,6,4,1,2713,0,11,3,3,1,5,2,1,5,2,0,2,2.5,0.0
57,0,2,1,24,2,1,3,1,4,3,0,4,0,9439,1,16,3,2,1,12,2,1,5,3,1,4,1.25,0.16666666666666666
27,0,0,1,3,3,3,3,1,2,1,6,3,0,2566,1,15,3,4,1,1,2,2,1,1,0,1,0.5,0.0
50,0,2,1,11,3,1,3,0,3,5,3,2,2,19926,0,15,3,2,0,21,5,3,5,4,4,4,0.8333333333333334,0.6666666666666666
41,0,2,1,14,3,1,1,1,3,1,6,3,0,2451,0,12,3,1,1,13,2,3,9,8,1,8,4.5,0.1
30,0,2,2,5,3,1,2,0,3,3,7,4,1,9419,0,12,3,3,1,12,2,3,10,9,7,4,2.5,0.6363636363636364
38,0,2,2,1,4,1,1,0,2,2,7,4,2,8686,0,22,4,3,0,12,2,4,8,3,0,7,2.6666666666666665,0.0
32,0,2,1,6,5,1,3,1,3,1,6,3,2,3038,0,20,4,1,0,8,2,3,5,4,1,4,2.5,0.16666666666666666
27,0,2,1,17,3,5,3,1,3,1,6,2,1,3058,1,16,3,4,1,6,3,2,5,2,1,1,2.5,0.16666666666666666
19,1,1,2,1,1,5,3,0,1,1,8,1,2,2325,0,21,4,1,0,1,5,4,0,0,0,0,0.0,0.0
36,0,1,1,3,2,3,4,1,3,1,2,2,2,2088,0,12,3,3,0,13,3,2,8,7,7,2,4.0,0.7777777777777778
30,0,0,1,9,3,3,3,1,3,2,2,1,0,3072,0,11,3,3,2,12,4,3,12,9,6,10,4.0,0.46153846153846156
45,0,2,2,4,2,1,3,0,3,2,7,1,0,5006,1,11,3,1,1,9,3,4,5,4,0,3,1.6666666666666667,0.0
56,0,2,1,8,3,1,3,0,3,1,6,1,0,4257,1,18,3,3,1,19,3,3,2,2,2,2,1.0,0.6666666666666666
33,0,2,1,2,3,1,3,1,3,1,6,4,2,2500,0,14,3,1,0,4,2,4,3,1,0,2,1.5,0.0
19,1,2,1,2,3,1,2,1,2,1,2,4,2,1102,0,22,4,3,0,1,3,2,1,0,1,0,0.5,0.5
46,0,2,2,1,2,2,2,0,3,3,7,1,0,10453,0,25,4,3,3,24,2,3,24,13,15,7,6.0,0.6
38,0,2,1,9,2,1,3,0,3,1,2,4,2,2288,0,12,3,3,0,2,3,3,2,2,2,1,1.0,0.6666666666666666
31,0,2,1,12,1,3,3,0,3,1,6,4,1,3929,1,23,4,3,1,7,0,3,4,2,0,2,2.0,0.0
34,0,2,1,27,2,3,4,0,3,1,6,2,2,2311,0,15,3,4,0,9,3,3,3,2,1,2,1.5,0.25
41,1,2,2,20,2,2,2,0,3,1,8,2,2,3140,1,22,4,4,0,4,5,2,4,3,0,2,2.0,0.0
50,0,2,1,1,3,3,3,1,2,1,2,3,1,3690,0,15,3,4,1,5,2,2,3,2,0,2,1.5,0.0
53,0,2,1,13,2,3,4,0,4,2,4,1,0,4450,0,11,3,3,2,5,3,3,4,2,1,3,1.3333333333333333,0.2
33,0,2,1,14,3,3,4,0,3,1,6,2,1,2756,0,13,3,4,1,8,5,3,8,7,1,6,4.0,0.1111111111111111
40,0,2,1,4,1,3,4,0,3,5,3,3,1,19033,0,14,3,2,1,21,2,3,20,8,9,9,3.3333333333333335,0.42857142857142855
55,0,2,1,14,4,3,3,1,4,5,5,2,2,18722,0,11,3,4,0,36,3,3,24,15,2,15,4.0,0.08
34,0,1,1,2,1,1,4,1,2,2,4,3,1,9547,0,17,3,3,0,10,2,2,10,9,1,9,3.3333333333333335,0.09090909090909091
51,0,2,1,3,3,3,4,0,3,4,0,2,2,13734,0,18,3,3,0,21,6,3,7,7,1,0,1.4,0.125
52,0,2,1,1,4,1,3,1,2,5,3,3,1,19999,0,14,3,1,1,34,5,3,33,18,11,9,5.5,0.3235294117647059
27,0,2,1,9,3,3,4,0,3,1,6,2,2,2279,0,16,3,4,0,7,2,2,7,7,0,3,3.5,0.0
35,1,2,1,23,2,1,2,1,2,2,4,3,1,5916,1,13,3,1,0,8,1,3,1,0,0,1,0.3333333333333333,0.0
43,0,0,1,7,3,3,4,1,4,1,6,4,0,2089,0,14,3,4,3,7,3,4,5,4,2,2,2.5,0.3333333333333333
45,0,0,1,2,2,3,1,1,2,4,3,4,1,16792,0,23,4,4,1,22,1,3,20,8,11,8,4.0,0.5238095238095238
37,0,2,1,21,3,1,2,1,4,1,6,1,1,3564,1,12,3,1,1,8,3,2,8,7,1,7,4.0,0.1111111111111111
35,0,1,1,2,3,3,2,0,3,2,2,2,2,4425,0,11,3,4,0,10,5,3,6,2,1,2,2.0,0.14285714285714285
42,0,0,1,21,2,3,3,0,3,2,4,3,0,5265,0,16,3,2,1,11,5,3,5,3,0,2,1.6666666666666667,0.0
38,0,2,1,2,4,1,4,1,3,2,4,3,1,6553,0,14,3,2,0,14,3,3,1,0,0,0,0.3333333333333333,0.0
38,0,2,1,29,3,5,4,1,3,2,4,4,1,6261,0,18,3,1,1,9,3,1,7,7,1,7,2.3333333333333335,0.125
27,0,1,1,1,1,5,3,1,2,2,4,1,1,4298,0,19,3,3,1,6,1,3,2,2,2,0,0.6666666666666666,0.6666666666666666
49,0,0,1,18,4,1,4,1,3,2,4,4,0,6804,1,15,3,1,2,7,0,3,7,7,1,7,2.3333333333333335,0.125
34,0,1,1,10,4,3,4,1,3,1,6,3,0,3815,1,17,3,4,1,5,4,4,5,3,2,0,2.5,0.3333333333333333
40,0,2,1,19,2,3,3,1,3,2,2,4,1,2741,1,15,3,3,1,15,2,4,7,2,3,7,2.3333333333333335,0.375
